특공주 45794,4378
특별 25030,8300|36760,9227|38161,7097
특별훈련 31242,1678|31242,3532
특별훈련을 23733,13450|51013,8387|51013,13749|51013,13770
특산버섯 21033,840|21033,5512|36760,2062|36760,2100|36760,3762|36760,3776|36760,4017|36760,4031|36760,4163|36760,4178|36760,4202|36760,4472|36760,4496|36760,4520|36760,4630|36760,4646|36760,4672|36760,4961|36760,4997|36760,5340|36760,5368|36760,5406|36760,5550|36760,5577|36760,5614|38161,6565|38917,31728|39826,1249|39826,3364|39826,3492|39826,3561|39826,3669|39826,3685|39826,3704|39826,5812|39826,5946|39826,5962|39826,5980|39826,6008|39826,6148|39826,6205|39826,6719|39826,7059|39826,7215|39826,7353|39826,7394|39826,7530|39826,8420|39826,9453|43998,2310|43998,2334
특산버섯김치 21033,830|26754,23484|33013,7163|33013,9559|33013,11206|36993,675|38917,7003|39826,1437|39826,6020|39826,7291
특성 28259,93|28259,798|28259,1265|28259,1897|28259,2605|28259,3112|28259,3792|28259,4147|28259,4944
특성때문에 25899,22266
특성상 37097,31891
특성은 28259,4755
특성을 28259,4849
특성이 28259,4697
특수 23733,13410|23733,13508|23733,38376|24789,235|24789,4565|24789,7226|24789,10484|24789,14912|24789,16760|24789,21772|24789,27360|24789,32492|25899,19588|28259,3822|28259,3870|28259,5089|28259,5145|37097,239|37097,2652|37097,5104|37097,7847|37097,11173|37097,12757|37097,16095|37097,20335|37097,25487|45997,403|45997,4183|45997,5700|45997,7507|45997,9339|45997,10773|45997,11842|45997,12622|45997,13912|45997,15197|45997,16168|45997,17349|45997,18195|45997,18753|45997,20023|45997,20604|45997,21179|45997,21652|45997,22033|51013,12293
특수공격 23733,2492|23733,2608|23733,7451|23733,10113|23733,10233|23733,10563|23733,10696|23733,15518|23733,15578|23733,20294|23733,20357|23733,22486|23733,22597|23733,24758|23733,24885|23733,25026|23733,25089|23733,26644|23733,29155|26754,2288|26754,2365|26754,8537|26754,8880|26754,13378|26754,13438|26754,17564|26754,19549|26754,21737|26754,21968|26754,22032|26754,23536|26754,25961|26754,27138|26774,2508|26774,2744|26774,8592|26774,8930|26774,9060|26774,13396|26774,17635|26774,19687|26774,21786|26774,22014|26774,22079|26774,23498|26774,25898|26774,27170|26774,27236|33119,8735|33119,8875|33119,13458|33119,17773|33119,17835|33119,19748|33119,21872|33119,22101|33119,22164|33119,23561|45326,4622|45794,4382|45794,4432|47038,2430|47038,2505|47038,7896|47038,8235|47038,8371|47038,12948|47038,17256|47038,19238|47038,21277|47038,21402|47038,21538|47038,21602|47038,23091|47038,26714|47038,26778
특수공격내성계 45326,1269
특수공격술 42032,3623|42032,6769|42032,6803|42032,6974
특수알비노 19406,32731|21815,5344|23733,32939|24789,23648|24789,36979|25899,9794|26754,26292|26754,31751|27445,17773|33119,26303|33645,3152|33645,28319|37097,29513|38917,20877|43111,15395|45997,9242|47038,28718|47038,30086|49792,2218
특수제조를 45326,9983
특수탄 38917,4727|38917,4809|38917,4821
특수탄lv1 38917,4741
특수탄lv3 38917,4884
특수퍼펙트서 26754,30636
특수한 25899,20228|36663,14087|36993,96|51013,16525
특수효과 19406,410|19406,11261|19406,21330|19406,21713|19406,22269|19406,23209|19406,24077|19406,25249|19406,26440|19406,27475|19406,27848|19406,28164|21815,400|21815,8537|21815,21339|21815,22077|21815,22957|21815,23997|21815,24545|21815,24892|21815,26137|21815,27339|21815,27691|21815,28166|25899,272|25899,2094|25899,3507|25899,4436|25899,5779|25899,6431|25899,6905|25899,7931|25899,8869|25899,9518|25899,9868|25899,11153|25899,11964|25899,12646|25899,13129|25899,14105|25899,14591|25899,15100|25899,15445|25899,15787|25899,16251|25899,16594|25899,17556|25899,17770|25899,18053|27445,398|27445,11804|27445,20685|27445,21850|27445,23054|27445,24296|27445,25339|27445,26254|27445,26991|27445,27548|27445,27901|27445,28398|27445,28944|27445,29252|27798,401|27798,3843|27798,8099|27798,9949|27798,10953|27798,13030|27798,13768|27798,14571|27798,15229|27798,15859|27798,16883|27798,17229|27798,18012|27798,18788|27798,19764|27798,20007|27798,20572|27798,20995|27798,21630|27798,22306|27798,23005|27798,23903|27798,24134|27798,24412|33645,404|33645,9179|33645,16976|33645,18394|33645,19622|33645,20654|33645,21216|33645,21559|33645,21900|33645,22807|33645,23584|33645,24704|33645,25107|33645,25731|43111,519|43111,4061|43111,7827|43111,11468|43111,12535|43111,13379|43111,13967|43111,14334|43111,14744|43111,15468|43111,16229|43111,16744|43111,17270|43111,17774|49792,890|49792,7464|49792,12413|49792,12838|49792,13350|49792,14649|49792,15689|49792,17031|49792,17845|49792,18530|49792,19002|49792,19531|49792,20354|49792,20911|49792,21311|49792,21696|49792,22116|49792,22768
특습주 45794,4428
특이 33013,11717
특전 29127,3805|33013,1528|36663,7287
특전으로서 29127,3790
특전을 29127,3731|51013,12340|51013,12368|51013,12399|51013,12429|51013,12458|51013,12489|51013,12520|51013,12550|51013,12578|51013,12607|51013,12637|51013,12666|51013,12696|51013,12725
특정 21815,35934|28259,1620
특정의 45326,6177
특주퍼펙트서 33645,25600|38917,30592
특징 19406,35106|21239,95|21815,34709|24789,39850|25030,104|25899,19494|25899,21297|27445,36915|27798,28678|33645,32079|36663,5456|36663,12296|36760,96|37097,31840|43111,20851|43998,85|45997,25798|49792,26511
특징에 49792,26978
특징은 43111,23100
특징이라고도 43111,22680
특징인 51013,14344
특화시킨 27798,28711
특히 19406,35665|19406,35816|24789,40005|25899,22627|28259,1145|28259,4710|36663,4846|36663,12010|45326,10207|51013,13897
