지고 51013,1008
지급 21239,1649|21239,1860|25030,2191|36760,6992|38917,30782|43998,1654
지급용섬광구슬 43998,1274
지급용큰통폭탄 38917,31124
지급품 38917,1537|38917,3148|38917,3291|38917,3735|38917,3807|38917,30717|38917,30760|38917,30799|38917,30845|38917,30879|38917,30923|38917,30967|38917,31008|38917,31050|38917,31092|38917,31140|38917,31186|38917,31274|38917,31305|38917,31339|38917,31373|38917,31408|38917,33467
지급품으로 38917,33482
지급품전용아이템 38917,30643
지급한 36993,175|36993,228
지나도 45326,7984
지느러미의 38161,5068
지는 43111,24926
지니고 21033,6479|37097,32078
지닌 25899,21676|25899,21973|51013,14533
지도 21239,511|23733,441|23733,932|23733,1008|23733,14069|23733,14398|23733,14461|23733,19421|23733,32117|23733,32178|25030,856|25030,984|26754,459|26754,874|26754,945|26754,2448|26754,7458|26754,11848|26754,12141|26754,12206|26754,16795|26754,20510|26754,28392|26774,447|26774,870|26774,975|26774,2613|26774,12012|26774,12277|26774,12340|26774,13093|26774,16886|26774,28406|26774,28467|33013,93|33119,449|33119,877|33119,947|33119,7636|33119,12116|33119,12421|33119,12485|33119,16907|33119,20645|33119,28543|36760,4687|36760,4690|38917,30706|43998,1081|45326,5967|45794,1268|45794,7844|47038,278|47038,606|47038,1011|47038,1114|47038,2685|47038,6920|47038,11516|47038,11808|47038,11901|47038,12653|47038,16440|47038,20018|47038,27939|51013,14716|51013,16735
지도가 45326,5978
지도를 45326,6011
지도무효 39470,5182|39470,12627|45326,6005|45766,5151|45766,12623
지도상비 39470,1109|45326,5973
지도주 33013,11596|45794,7840
지를 25899,20256
지면 38161,7816
지면속에서 36663,8489
지면에 38161,3147|38161,3599|38161,3764
지면에서 38161,3629|38161,3805
지면을 28259,1561
지방에 51013,14168
지방엔 51013,14328
지배자 25030,9235|25030,9361|38161,7449|38161,7465
지불한 33013,11826
지상에 38161,4832
지속 36663,9308
지속시간 38917,860|38917,927|38917,996|38917,1052|38917,1123|38917,1196|38917,1248|38917,1314|38917,1388|38917,1447|38917,1505|38917,2734|38917,2803|38917,6053|38917,6122|38917,7056|38917,7189|38917,7241|38917,7480
지속시간이 45326,8953|45326,9025
지속주 33013,9325|45794,6595
지식 51013,13710
지역을 51013,14755
지옥에서 25030,9010
지우는 36663,6132
지원도 36663,1181
지원에 36663,4849
지원하지 21760,102|46907,102
지웠을 36663,6150
지저 51013,6586
지정지 31242,611|31242,1709|31242,2397|31242,3870|31242,4762|31242,5378|36993,298
지중의 25030,9149|25030,9494
지진 45326,1756
지진상태 36663,14746
지크린테 21815,9585
지크린테g 21815,33610
지크먼트 21815,10789
지크먼트g 21815,33432
지킨다 51013,13720
지형 23733,5142|23733,5260|23733,5737|23733,5802|23733,11330|23733,11395|23733,11489|23733,11558|23733,22130|23733,22229|23733,22554|23733,22617|23733,25199|23733,25264|23733,25369|23733,25432|23733,31566|23733,31637|23733,35063|23733,35169|26754,4815|26754,5251|26754,9321|26754,9445|26754,9543|26754,9731|26754,19298|26754,19359|26754,19568|26754,22099|26754,22283|26754,22353|26754,27949|26754,31444|26774,5017|26774,5502|26774,9417|26774,9543|26774,9640|26774,9764|26774,19439|26774,19498|26774,19706|26774,22145|26774,22273|26774,27967|26774,31160|26774,31279|33119,5024|33119,5094|33119,5528|33119,5592|33119,9321|33119,9420|33119,9509|33119,9592|33119,9697|33119,19498|33119,19558|33119,19767|33119,22230|33119,22410|33119,28075|33119,28145|33119,31488|45326,7444|45794,1136|45794,1184|45794,5850|45794,5897|47038,4774|47038,5204|47038,8726|47038,8848|47038,8945|47038,9131|47038,19136|47038,19195|47038,19257|47038,21713|47038,21776|47038,21830|47038,27477|47038,30773
지형데미지무효 39470,4015|39470,8515|39470,9685|39470,12365|45326,2119|45326,7450|45766,4025|45766,9695|45766,12349
지형데미지반감 39470,2452|45326,7499|45766,2417|45766,8508
지형데미지증가 39470,2722|39470,3972|39470,8674|39470,8708|39470,9641|39470,14075|45326,7548|45326,7601|45766,2706|45766,3981|45766,8651|45766,9630|45766,14107
지형에 38917,4051
지형을 28259,1575
