갈기는 51013,13155
갈망의피어스를 31242,3676
갈무리 23733,542|23733,613|23733,9359|23733,23975|23733,24103|23733,24444|23733,24513|23733,29397|23733,29451|26754,556|26754,630|26754,7896|26754,21037|26754,21167|26754,21489|26754,26163|26754,26217|26754,30534|26774,551|26774,615|26774,7930|26774,21000|26774,21129|26774,21484|26774,21542|26774,26066|26774,26120|33119,549|33119,622|33119,8075|33119,21147|33119,21271|33119,21621|33119,26178|33119,26231|36663,13677|36993,1816|36993,2897|36993,3606|36993,4305|36993,4900|36993,5030|36993,5422|36993,6134|38917,2310|38917,7646|38917,7680|38917,31749|38917,31781|38917,32196|38917,32224|38917,32291|38917,32328|38917,32357|38917,32587|38917,32647|38917,33533|42032,3297|42032,3362|42032,4332|45326,6434|45326,6560|45794,8088|45794,8173|47038,692|47038,764|47038,7359|47038,20544|47038,20671|47038,21028|47038,25622|47038,25674
갈무리를 36663,1307|42032,4356
갈무리명인 39470,9284|39470,11394|42032,3322|45326,6441|45766,9247|45766,11406
갈무리중과 45326,6489
갈무리철인 39470,399|42032,4367|45326,6483|45766,407
갈무리철인의 45326,6447
갈무리횟수 45326,6462
갈색 39826,422
갈수 37097,32107
