로드 51013,9433
로브스탬프 27445,13990
로스트바벨 19406,2714
로얄 51013,6138
로얄로브스탬프 27445,14355
로얄로즈 33645,8955
로얄비드로 35316,7656|35316,11478|35316,11637|45997,10297
로얄에비건 24789,22683
로얄치즈 42032,1183
로어 19406,26109|43111,6230
로열투구벌레 21239,4699|25030,526|25030,587|25030,649|25030,1614|25030,1668|25030,1734|25030,8019|36760,1279|36760,1336|36760,1404|36760,6863|36760,6919|36760,6975|36760,7181|36760,7240|38917,31849|43998,766|43998,837|43998,881|43998,1198|43998,1257|43998,1571|43998,1637|43998,1755|43998,5085|43998,5153|43998,5701
