þag 25779,5612
þai 19829,1066|19829,1106|19829,1127
þat 19829,1148|25779,4187
þe 25779,4204|25779,4283
þer 25779,5566
þi 19829,1056
þow 33065,19122
þºû 34279,44366|43048,23298|43048,23710
þ½à 34279,3675
þàç 19615,8145|26219,11443|34279,29414|34279,29560|34279,29704|34279,29857|34279,30004|34279,34191|34279,34343|50971,6896
þàîàççø 19615,7833|19615,7876|26219,8259|26219,8330|26219,9375|26219,9446|26219,10554|26219,10639
þàîæí 26219,1207
þàú 34279,10089|34279,10234|43048,8644|43048,8783
þá 26219,1975|26219,9187|26219,10173
þâê 34279,96
þäù½ºæ 34279,6885|34279,10473|34279,13154|34279,19196|34279,20923|34279,26230|34279,30805|34279,34754|34279,49386|34279,50987|43048,1247|43048,3659|43048,6108|43048,8993|43048,11622|43048,12804|43048,17872|43048,21058|43048,27069|43048,27272
þæí 19615,2668|26219,624|26219,1169|26219,1189|50971,5711
þç 34279,10041|43048,18203
