광개토다랑어 36760,3509
광대검 21815,23232|21815,23411
광대한 51013,16723
광란 51013,2316
광범위하게 28259,1475|43111,22867
광범위한 28259,5229
광석 33013,6066|33013,7010|33013,7936|33013,8590|33013,9466|33013,10210|33013,10939|38917,7804|39826,3376
광석들만 33013,4628
광석을 38917,5455
광석의 38917,5297|38917,5347|38917,5398
광역 23733,3505|23733,3570|23733,4434|23733,4500|23733,4614|23733,4663|23733,9541|23733,16550|23733,16610|23733,21828|23733,21888|23733,26774|23733,26968|23733,32987|23733,33048|23733,35615|23733,35738|23733,37180|23733,37241|26754,3323|26754,3388|26754,4125|26754,4295|26754,4346|26754,8077|26754,14327|26754,18967|26754,23665|26754,23846|26754,29172|26754,31818|26754,33143|26774,3555|26774,3618|26774,4342|26774,4511|26774,4560|26774,8110|26774,14284|26774,19107|26774,23626|26774,23804|26774,29192|26774,29253|26774,31682|26774,33042|33119,3578|33119,3642|33119,4379|33119,4542|33119,4592|33119,8255|33119,14332|33119,19142|33119,19201|33119,23684|33119,23864|33119,29397|33119,29457|33119,31946|33119,32050|33119,33277|36663,13383|45326,9050|45766,1952|45766,2015|45766,2031|45794,6757|45794,6805|45794,6864|45997,26363|47038,3560|47038,3623|47038,4239|47038,4303|47038,4400|47038,4449|47038,7543|47038,13874|47038,13932|47038,18805|47038,23218|47038,23402|47038,28761|47038,28820|47038,31258|47038,31361|47038,32625|47038,32684
광역화 36663,14491|39470,1565|39470,1984|39470,2050|39470,2067|39470,6038|39470,8367|39470,12985|39470,14313|39470,14903|45326,9056|45326,9126|45766,1551|45766,6055|45766,8354|45766,12949|45766,14346|45766,14932
광주엑기스 21033,421|21033,5995|33013,8864|33013,8898|33013,9721|38917,12450|39826,2110|39826,3074|39826,3181|39826,6397|39826,6847|39826,8984|39826,9024|45794,6934|45794,7958
광채는 51013,13222
광채안에 51013,15475
광충 21033,1118|21033,3034|21239,1795|21239,4650|25030,666|25030,1586|25030,1630|25030,8099|25030,8124|28259,3290|29127,4423|33013,2384|33013,2387|33013,2536|33013,6128|33013,6326|33013,6484|33013,11120|33013,11250|36760,1421|36760,6836|36760,6879|36760,6936|38917,9947|39826,2924|39826,6105|39826,9044|43998,692|43998,727|43998,864|43998,1543|43998,1599|43998,1724|43998,5669|43998,5718
광피주 45794,6077
