흑각룡 38161,4058
흑각룡갑각 23733,6957|26754,6257|26754,16940|26754,17496|26774,6601|27445,6903|33119,6607|38917,22632|47038,6255|47038,17104|49792,4274
흑각룡견각 19406,16463|23733,22837|25899,12249|26754,19891|26754,29995|26774,19991|27445,2357|27445,13482|33119,20063|33645,10423|37097,14952|38917,22659|45794,2816|47038,19561
흑각룡견갑 19406,16452|21815,14471|26754,19863|26774,20929|27445,13672|33119,20076|33645,10412|38917,22740|47038,19548
흑각룡꼬리 21815,14254|38917,22793|39826,5263|45794,1744
흑각룡배갑 25899,12133|26754,6244|27445,23698|33119,6620|38917,22713|47038,6242|47038,16585|49792,4282|49792,4322
흑각룡인미 27798,14307|38917,22820|49792,23999
흑각룡중각 19406,16668|23733,33821|25899,12389|25899,12423|26774,29972|27445,32923|27445,35404|27798,14512|33119,30183|33645,10615|38917,22686|47038,29594
흑각룡중갑 19406,16657|21815,14698|25899,12378|25899,12576|26754,29967|27445,13893|27798,14324|33119,30191|33645,10604|37097,23373|38917,22767|47038,29581
흑갑 38161,3311|38161,3369
흑개룡 38161,3253
흑개룡갑각 19406,1282|19406,1317|19406,9687|23733,7131|23733,19537|23733,20091|24789,6678|24789,16501|25899,4819|26754,6418|26754,20063|26774,6783|26774,17028|26774,17571|26774,20177|27445,11443|33119,6797|33119,17053|33119,17655|33119,20266|33645,16456|38917,22118|39826,7707|43111,7307|45794,278|45794,2436|47038,6426|47038,19745
흑개룡견각 19406,1525|19406,9915|23733,23028|24789,16488|24789,19837|26754,20051|26754,30188|26774,20164|26774,30156|27445,11657|27798,14963|33119,20254|33119,21326|33119,30386|33645,16657|37097,11882|38917,22152|43111,7531|45794,2483|45997,5178|47038,19733|47038,29802
흑개룡두각 19406,9679|23733,7144|23733,23041|23733,33673|23733,34010|24789,16514|27445,11666|27798,14785|37097,11895|38917,22234|39826,2076|43111,7539|45794,3012
흑개룡중각 19406,3519|19406,10178|19406,32040|19406,34191|21815,20415|23733,33997|24789,30669|25899,8823|26754,30180|26774,30148|27445,6064|27445,8706|27445,11024|27445,11248|27445,35932|27798,15161|33119,30378|33645,16864|37097,22792|38917,22179|43111,7757|45997,23877|47038,29789
흑개룡천각 19406,10434|21815,3665|24789,30694|26754,30202|27445,11275|27798,15179|33119,30400|37097,22828|38917,22206|39826,6897|43111,7765|43111,10259|47038,33416
흑과 27445,6641|27445,6826|27445,32821
흑그라비모스 38917,22141|51013,17058
흑그라비모스나 43111,24442
흑대 51013,8343
흑도 49792,11377|49792,11547|49792,11752|49792,11977|49792,12274
흑도g 49792,23488
흑디아브로스 38917,22582|51013,17027
흑랑 51013,4696
흑랑조 38161,1145|38161,1165|38161,1192|38161,1209
흑랑조の厚麟 27445,15048
흑랑조갈기 23733,5532|23733,8656|23733,17602|24789,19811|25899,2474|27445,14633|27445,14663|27445,14847|27798,6479|27798,6510|38917,16330|39826,1918|45794,3866|45997,20285|49792,18770
