칸타로스 41496,23070
칸타로스갑각 21985,18682|26312,2194|26312,15297|29333,2119|29353,2204|30377,2386|35592,3220|35592,3313|35592,3320|35592,3327|35592,7511|35592,8747|35592,8991|35698,2260|39676,624|39676,3385|41496,23047|42405,2358|42405,3857|48576,9589|49617,2248|52371,11617
칸타로스건 27368,11967
칸타로스건g 27368,32811
칸타로스견각 21985,19042|21985,19252|26312,15283|26312,20598|27368,12060|27368,32921|29333,13150|29333,17986|29353,13218|29353,18092|35592,3260|35592,3362|35592,7670|35592,9198|35592,9418|35698,13269|35698,18083|39676,9148|41496,23079|42405,1998|49617,12778|49617,17720
칸타로스날개 26312,8377|28478,9022|29333,2106|29353,2190|29353,13232|35592,3200|35592,3207|35592,3295|35592,7085|35592,7321|35592,8755|35592,9002|35698,2246|35698,13283|41496,23133|42405,2351|42405,3782|48576,9639|48576,9852|49617,2228|52371,11445|52371,23636
칸타로스등 41496,11942
칸타로스를 39242,1023
칸타로스머리 21985,18841|21985,29722|26312,2180|28478,9155|29333,13164|30377,2568|35592,7522|35592,8763|35592,9013|39676,26532|41496,23106|42405,6216|48373,5548|48373,7448|49617,12792|52371,11436|52371,11830
칸타로스박우 21985,19033|26312,15269|26312,20584|27368,12046|28478,9274|28478,9315|29333,13136|29333,17973|29353,13204|29353,18078|30377,2769|30377,25435|35592,3240|35592,3247|35592,3340|35592,7681|35592,9209|35698,13255|35698,18070|41496,23159|42405,2157|48373,7496|48576,10161|49617,12764|49617,17707|52371,11850|52371,12067|52371,23646
칸타로스참우 21985,19231|21985,29713|28478,19076|30377,2976|30377,3193|35592,3282|35592,3375|35592,9407|39676,20482|41496,23186|42405,9108|48373,7539|48576,10422|48576,10474|48576,10708|52371,12058|52371,12112|52371,12337|52371,23656
