붕검웬캄루바스 24394,27725
붕괴 53592,5338
붕궁아이캄루바스 28478,17686
붕궁아이캄루바스계 28478,17533
붕노에이누캄루바스 27368,32070
붕도우코트캄루바스 52371,22498
붕룡강갈기 26312,36576|27368,32160|28478,17713|29333,32686|30377,24061|36224,25430|39676,25154|41496,27293|45690,17643|52371,22635
붕룡복린 21985,28032|24394,27869|27368,32185|28478,17724|29333,32699|30377,24069|39676,25167|41496,27187|48373,5491|48576,21907|49617,32101
붕룡삭악 24394,27862|28478,17706|29333,32674|30377,24079|41496,27266|45690,17636|48576,21890|52371,22653
붕룡중각 21985,28039|24394,27879|26312,36589|30024,29129|36224,25448|39676,25142|41496,27155|45690,17654
붕룡중미 21985,28049|27368,32173|41496,27213|42405,8716|48576,21897|49617,32108|52371,22643
붕룡천조 30024,29122|36224,25438|41496,27240|48373,8196
붕사키크키캄루바스 36224,25295
붕인약캄루바스 30377,23875|30377,23937
붕적이코캄루바스 37895,7074|37895,10424|48576,21693
붕적이코캄루바스계 48576,21629
붕창케르케캄루바스 21985,27964
붕창케르케캄루바스계 21985,27823
붕천옥 21985,28056|24394,27619|24394,27886|26312,36614|27368,31612|27368,32197|28478,16550|28478,17731|29333,32711|30024,29146|30377,17160|30377,24086|30377,28244|36224,25455|36224,31426|39676,25179|41496,27321|45690,14262|45690,17661|48576,21581|48576,21914|49617,32121|52371,21627|52371,22660
붕총창파시캄루바스 45690,17491
붕퇴오텔캄루바스 30024,29058
붕포바세캄루바스 39676,25053
