y0 22807,237|48105,14129
y0ca125 35424,201
y0ca199 35424,145
y0nz 49581,7
y1 22807,240|23953,9661|24274,5784|24274,5791|24274,5797|24552,954|24552,961|24552,967|25986,958|25986,965|25986,971|26126,310|26126,402|26126,1955|26126,2072|26877,25883|27097,394|27097,621|27097,778|27097,1057|27097,1422|27097,1469|27097,1613|27097,1654|28261,8270|30021,73|30657,19124|30657,19290|30657,29974|30657,30146|30657,30435|32161,11560|32161,11746|32161,12108|32161,12237|32161,13543|32161,13563|32704,72811|33415,1057|34149,56605|34149,56827|34149,71357|34149,71513|34149,97875|34149,97895|35231,31353|35231,31477|35231,31601|35231,31723|38707,5774|38707,5781|38707,5787|40037,986|40037,993|40037,999|40940,5812|40940,5819|40940,5825|41159,8100|41159,8202|41159,8210|43795,3710|43795,3775|43795,3787|43795,3844|43795,3856|43795,3987|43795,4050|43795,4132|43795,4152|43795,4178|43795,4705|43795,4716|43795,4871|43795,4885|43795,5080|43795,6443|43795,6454|43795,28204|43795,28269|43795,28281|43795,28338|43795,28350|43795,28481|43795,28544|43795,28741|43795,28776|43795,28785|43795,28812|43795,28847|43795,28856|44393,19509|44393,19583|44393,19661|44393,19741|44393,19829|44393,19903|45425,213363|45471,53636|45471,53688|48105,6275|48105,6377|48105,6772|48105,6858|48105,7128|48105,14138|50586,1605|50586,28618|50586,28701|50586,28964|50586,29022|51541,523|51541,543|51541,567|51541,4953|51541,4985|51629,1505|51629,1638|53408,84
y11 39782,137|39782,199|39782,439|39782,501|39782,724|39782,786|39782,1009|39782,1071
y12 39782,148|39782,203|39782,450|39782,505|39782,735|39782,790|39782,1020|39782,1075
y1c 51541,4973|51541,5019|51541,5059|51541,5102
y1ca125 35424,417
y1ca199 35424,365
y2 22807,243|23953,9687|26126,340|26126,407|26126,1984|26126,2077|26877,25895|27097,458|27097,626|27097,910|27097,1069|27097,1103|27097,1273|28261,8286|30021,149|30657,19205|30657,19296|30657,30057|30657,30152|30657,30439|32161,11612|32161,11766|32161,12697|32161,13608|32161,13625|32704,72818|33415,1060|34149,56666|34149,56847|34149,76930|34149,97949|34149,97966|35231,31356|35231,31480|35231,31604|35231,31726|38226,1851|41159,8156|41159,8205|41159,8213|43795,3737|43795,3761|43795,3782|43795,3982|43795,4118|43795,4147|43795,4744|43795,4755|43795,4911|43795,4925|43795,5114|43795,6482|43795,6493|43795,28231|43795,28255|43795,28276|43795,28476|43795,28727|43795,28771|43795,28780|44393,19515|44393,19667|44393,19835|45425,213373|45471,53642|45471,53691|48105,6287|48105,6389|48105,6784|48105,6868|48105,7138|48105,14151|50586,1608|50586,28642|50586,28704|50586,28971|50586,29025|51541,4956|51541,5003|51629,1567|51629,1805|53408,105
y21 39782,159|39782,324|39782,461|39782,616|39782,746|39782,901|39782,1031|39782,1186
y22 39782,170|39782,328|39782,472|39782,620|39782,757|39782,905|39782,1042|39782,1190
y2c 51541,4991|51541,5036|51541,5077|51541,5112
y2ceqp1cns69eck 34149,68404
y2jhdj2 22533,3500
y2k 25276,1665221|25276,3577023|25813,20909|36871,18357|42196,1236434|42196,2271556|46174,768|51764,7561|53765,4581
y3 22807,246|32161,11669|32161,11816|32161,12160|32161,12466|32161,13660|32161,13681|34149,56732|34149,56906|34149,71418|34149,71796|34149,98010|34149,98031|43795,3806|43795,3830|43795,3851|43795,4045|43795,4164|43795,4778|43795,4789|43795,4952|43795,4966|43795,5148|43795,6516|43795,6527|43795,28300|43795,28324|43795,28345|43795,28539|43795,28798|43795,28842|43795,28851
y30 39136,267
y4 43795,4992|43795,5006|43795,5182
y4gdma 20964,1483
y622jvsgenouwjexdathqbj6q7sfrtsyj 34149,40990
y6koj7 34149,63857
y6zruscsc0lxihnnk5vi16jjxhlsmgzwh 40524,1090
y7fuhzo29mdawjlgw 34149,40558
y7hdjpt4eonws9sococ5l6q5yxodpifgtvprrqwwn 34149,46164
y8z9kxs4 34149,42017
y9lq 22533,3125
y9qwx2narvry9cqrt79njmwonptr20qw2 34149,44576
y_ 22972,15933|28062,1155|28062,3155|28062,3202|28062,3297|28062,3375|28062,3478|28062,5475|33184,1162|33184,4462|33184,6514|36699,1528|36699,1570|36699,1661|36699,1935|36699,1967|36699,1985|36699,2084|36699,2170|36699,2387|36699,2703|36699,2773|36699,2905|36699,2921|36699,2973|36699,3000|36699,3032|36699,3124|36699,3145|36699,3199|36699,3222|40005,1614|40005,1892|40005,4667|40005,4793|44237,387|44237,426|44759,4932|44759,5015|47768,1328|47768,1494|47768,2434|47768,2552|47768,3342|47768,3495|47768,4188|47768,4317|47768,4809
y_1 23904,2023
y_a 22807,687|22807,764|22807,996|22807,2574|22807,2647|22807,2832
y_array 22906,1830|22906,2079
y_construct 45471,50550|45471,50635|45471,51194
y_d 23904,2033
y_i 21758,4466|22807,460|23904,2155|23904,2253|23904,2347|23904,2361|23904,2456|23904,2560|23904,2567|23904,2591|23904,2692|23904,2851|23904,2926|23904,3048|23904,3066|23904,3090|23904,3095|31261,3891|44595,2244|44595,2272|44595,2499|44595,2665|44595,3339|45425,116037|45425,116124|50589,2128|50589,2199|50589,2343|50589,2450|50589,2594|50589,2862|50589,2998|50589,5115|50589,5157|50589,5174|50589,5263|50589,5306|50589,5331|50589,5412|50589,5454|50589,5471|50589,5552|50589,5633|50589,5684|50589,5765
y_iu 50589,5580
y_iz 50589,3023
y_j 21758,4882|21758,5218|21758,5421|21758,5865|21758,6404|30593,3366|30593,3808|50679,16194|50679,17023|50679,17153|50679,19765
y_k 36699,2751|36699,2826|36699,3065
y_q 48603,3323|48603,3340|48603,3670|48603,3816|48603,3873|48603,3960|48603,3982
y_valu 32161,10534|32161,10611|32161,11189|32161,11235|34149,25149|34149,25235|34149,38605|34149,38660
ya 25276,148062|25276,539350|25276,708513|25276,904611|25276,904614|25276,904807|25276,904810|25276,1925795|25276,3386214|28894,31376|29867,1093|34578,27188|41842,736|42196,410111|42196,1831336|42196,2485771|42196,2485774|42196,2485967|42196,2485970|42196,2675854|42196,3022976|42196,3267614|42568,1708|44352,5194|50819,2227
yaacov 23119,7094|31067,35930|40738,18672|44026,16015|45699,40066|45699,40128|48314,83073|48589,1965
yaakobi 47850,22517
yaakov 22065,4472|22065,8530|26378,15786|26995,497|27173,30206|28066,9844|28977,14023|28977,28520|28977,58662|28977,97534|29294,4202|30271,6467|31372,2750|31537,14|31537,53|31537,457|31537,514|31537,552|31537,1099|31537,1741|32228,3449|32618,14|32618,53|32618,147|34192,738|35433,5279|35826,12953|35826,41460|35826,54476|35826,54874|35826,94789|35826,94846|35826,95264|36254,10394|37185,8532|37606,8594|37899,6805|39373,3928|39706,10920|40173,3689|40173,30687|43862,7898|44026,497|44026,585|44026,11229|44026,31295|44026,35815|44452,6623|44667,12982|44667,16892|45699,3811|45699,68670|45699,89954|45699,90194|45699,90856|45699,92562|45699,93563|45699,95106|45699,97577|46034,1207|46034,2722|47850,15863|47911,3197|48369,1504|48369,1552|48369,3518|48369,6623|49915,63274|49915,63948|49968,856557|49968,856564|50230,14|50397,3076|51268,32265|51268,39308|51268,39375|51442,1879|51986,2043|52128,14748|52545,23883|52613,29681|53412,15067
yaakov5 35826,54261
yaakov7 44667,12929
yabber 49968,3902286|49968,3902293|49968,3902302|49968,3902312
yabbi 49968,3902320|49968,3902327|49968,3902335|49968,3902341
yabkowitz 50099,7499
yablon 48314,55668|49968,856573|49968,856580
yaboo 49968,3902349
yabucoa 49968,856589|49968,856597
yacano 49968,856607|49968,856614
yacc 28552,902|37673,1044|38497,91|42368,1301|45425,39197|45425,258803|49968,856623|49968,856628|50187,1241
yacca 49968,3902355|49968,3902361
yachat 49968,856635|49968,856643
yachenko 28977,149591|44967,1506
yachet 23119,14520|45729,9684
yachev 37185,6137
yachit 31757,2078
yachn 27173,56250|28977,126946
yachna 47911,1379
