일각 53592,4550
일각룡 23818,5627|35592,687|35592,1037|35592,10000|35592,10604|40740,3425|40740,3449|40740,3486|40740,3529|40740,3545|40740,3659
일각룡갑각 21985,15063|26312,5313|28478,1006|29333,4936|29353,5093|30024,18172|30024,18224|35698,5215|41496,23279|49617,4893
일각룡견각 21985,15230|26312,17423|26312,30433|28478,18950|29333,15135|29353,15077|29353,27006|30024,32737|30377,27191|35698,15181|35698,27121|41496,23305|48373,1795|49617,14637|52371,24167
일각룡견갑 21985,30783|26312,17395|29333,15072|29333,27062|29353,15019|30024,13904|35698,15119|36224,27617|41496,23359|49617,14612|49617,26567|52371,6789
일각룡배갑 21985,14870|28478,2508|29333,4867|29353,5068|30377,13964|35698,5147|36224,9906|41496,23332|48373,6295|49617,4826|52371,6565
일격 24394,35065|30024,38221
일격에 28478,22960
일격으로 45690,25194
일격의 24394,35068|24394,35471|30024,37727
일격이 24394,35412
일견 39676,32233
일도 27368,40036|39242,12132|39242,12154|45690,22802|45690,24885|45690,25469
일때 39242,9549
일때는 30377,28587
일람 39572,1779|40740,32
일렬로 28478,21519
일로 48576,25833
일류 53592,495|53592,13078|53592,13305
일륜 28478,14832|28478,19291
일명 30024,38388
일반 27368,208|27368,539|27368,4538|27368,7199|27368,7288|27368,7590|27368,10457|27368,14885|27368,16733|27368,16822|27368,17125|27368,21745|27368,21835|27368,27333|27368,32465|27368,38057|27368,38362|39242,8284|39676,212|39676,2625|39676,5077|39676,7820|39676,11146|39676,12730|39676,16068|39676,20308|39676,25460|45690,445|45690,457|45690,568|45690,719|45690,841|45690,1842|45690,2287|45690,2485|45690,2654|45690,2849|45690,4158|45690,4354|45690,4499|45690,4661|45690,7924|45690,8104|45690,8264|45690,10356|45690,10608|45690,10825|45690,12048|45690,12586|45690,12742|45690,12910|45690,13156|45690,14019|45690,17826|45690,19315|45690,20532|45690,21426|45690,21460|47905,6619
일반2 27368,3120|27368,4921|27368,9309|27368,9612|27368,15557|27368,15842|27368,18000|27368,19161|27368,22420|27368,25885|27368,28574|27368,34590|27368,35166
일반3 27368,26743
일반탄 23612,2372|23612,2409|30838,57|30838,117|30838,156|30838,204|30838,5936|30838,5963|30838,6018|30838,6313|30838,7083|31706,287|31706,372|31706,457|31706,5257|31706,5335|31706,5413|41496,4717|41496,10403|41496,10436|41496,10470|44611,4109|47905,2948|47905,2960|47905,4293|48345,413|48345,1395|48345,5672|48345,5890|48345,10109|48345,12535|48345,13186|48345,13775|48345,13821
일반탄2의 41496,7357
일반탄3의 41496,9142
일반탄lv1 30838,7813|39676,33223
일반탄lv2 30838,7844|39676,33231
일반탄lv3 30838,7901|39676,33239
일반탄강화 26312,1367|26312,3193|26312,15745|26312,16258|26312,24080|26312,26297|26312,30721|26312,33576|26312,34507|29333,612|29333,3063|29333,13605|29333,14086|29333,21144|29333,23192|29333,28312|29333,29744|29333,30937|29333,31125|29353,1366|29353,3250|29353,13642|29353,14070|29353,21106|29353,23245|29353,28293|29353,29749|29353,30658|30838,716|35698,604|35698,3323|35698,14114|35698,21248|35698,23316|35698,28462|35698,29958|35698,30957|35698,31173|47905,2939|48373,3125|48373,3180|49617,746|49617,3316|49617,13191|49617,13618|49617,20648|49617,22737|49617,27859|49617,29344|49617,30320|49617,30504
일반탄과 30838,7438|39676,32883
일반탄을 47905,3111
일반탄의 44611,4077
일반탄전레벨추가 47905,3095|48345,4261
일반탄추가 26312,12139|26312,36146|29333,10273|29353,10355|35698,10293|35698,10461|47905,3086|48373,3474|49617,9661|49617,9834
일부 21985,36564|21985,36665|28478,22630|30377,28759|39242,14571|41496,6938|44611,4854|47905,1996
일부의 30024,37018|30838,7585
일부지역을 47905,7008
일섬 53592,6818
일시적으로 39242,6505|39242,6587|39242,11015
일신 28478,14966
일어나지 44611,4673
일어날 44611,5054|44611,5090
일으켜 39242,14760|39242,14867|39242,15010
일으키는 41496,1932
일으킨다 53592,15571
일이 37895,2375|39242,12261|39242,13958|45690,24760|45690,24814
일정 42405,84|53592,8514|53592,8552|53592,8588|53592,8624|53592,8661|53592,8699|53592,8737|53592,8775|53592,8813|53592,8853|53592,8891|53592,8930|53592,8969|53592,9008|53592,9048|53592,9088|53592,9128|53592,9167|53592,9206|53592,9245|53592,9286|53592,9325|53592,9365|53592,9405|53592,9444|53592,9485|53592,9525|53592,9565|53592,9605|53592,9644
일정수의 39242,13136
일정시간 30024,36992|30377,29954|39242,9327|41496,3216|41496,3530|52371,26646
일정한 47905,7749|47905,7805|47905,7863|47905,7917|47905,9348
일종인 45690,20414
일체의 24394,35163|30377,28690
일탈형이나 30024,38224
