좋게 39242,13405
좋고 30838,363|48576,26577
좋다 21985,36133|21985,36760|21985,36891|21985,37145|28478,21602|28478,21859|28478,22356|28478,22719|28478,23571|30024,37456|30024,37788|30024,37872|30838,1127|35592,5380|36224,32372|36224,32462|39242,11971|39242,12951|39676,31940|45690,20927|45690,21988|45690,24096|45690,24231|45690,24651|45690,25956|48576,26607|48576,26651
좋습니다 39242,11133|39242,11599
좋으며 30377,29071
좋은 21985,36431|24394,35128|28478,22580|31706,3695|35592,5435|39242,10916|39242,12290|39676,33011
좋은것은 48576,26842
좋은사람 37895,11003
좋을 24394,35589|30838,4817|45690,23960|48576,26405
좋을지도 28478,23235
좋음 30377,29139
좋지 36224,32477
