강각의가호 42049,14127|47905,2109|48345,14161
강격 28478,360|28478,469|28478,589|28478,770|28478,917|28478,1137|28478,1307|28478,1489|28478,1678|28478,1950|28478,3598|28478,3707|28478,3831|28478,4002|28478,4145|28478,4305|28478,4529|28478,4645|28478,4762|28478,4891|28478,5090|28478,5253|28478,5416|28478,5647|28478,5874|28478,5999|28478,6122|28478,6310|28478,6525|28478,6650|28478,6787|28478,6998|28478,7118|28478,7243|28478,7371|28478,7570|28478,7791|28478,8020|28478,8149|28478,8275|28478,8459|28478,8597|28478,8747|28478,8963|28478,9084|28478,9213|28478,9394|28478,9613|28478,9740|28478,9961|28478,10086|28478,10216|28478,10393|28478,10536|28478,10666|28478,10863|28478,11019|28478,11246|28478,11374|28478,11499|28478,11633|28478,11838|28478,12060|28478,12189|28478,12321|28478,12512|28478,12740|28478,12868|28478,13001|28478,13221|28478,13341|28478,13469|28478,13636|28478,13768|28478,13941|28478,14207|28478,14337|28478,14471|28478,14686|28478,14800|28478,14931|28478,15195|28478,15322|28478,15541|28478,15663|28478,15881|28478,16004|28478,16130|28478,16346|28478,16472|28478,16688|28478,16804|28478,16930|28478,17102|28478,17659|28478,17870|28478,18144|28478,18512|28478,18637|28478,18760|28478,18883|28478,19005|28478,19133|28478,19264|28478,19387
강격병 23612,3675|28478,19536|31706,713|31706,5659|39339,5635|41496,11540|48373,3761|48373,3822
강격병이 47905,4185
강격병추가 29333,26050|35698,26080|47905,4170|47905,4179|48345,11321|48373,3719|48373,3780|49617,25525
강관주 48373,3293
강력 53592,4772
강력한 52371,26694
강룡 40740,7526
강룡갑각 21985,24596|21985,24771|24394,25600|26312,11454|29333,9669|29333,10546|29353,9781|35698,9714|36224,18913|39676,6381|41496,24510|42405,7791|49617,9136|49617,10101|52371,17252
강룡강각 21985,25191|26312,35254|28478,15713|30024,22985|36224,19482|36224,30718|41496,24748|52371,13299
강룡강익 24394,26057|28478,15720|29333,31527|30024,22995|39676,22202|41496,24695|52371,17803|52371,22056
강룡견각 21985,5152|21985,24977|24394,25861|26312,23904|26312,25314|26312,25670|28478,16072|29333,20440|29333,22225|29333,22798|29353,22290|30024,22596|35698,22427|36224,19272|39676,13474|41496,24542|48373,5960|49617,21847|49617,22342|52371,13104|52371,17582
강룡꼬리 21985,24589|30024,22603|36224,19082|41496,24776|42405,2166|48373,5923|52371,8321|52371,13067
강룡발톱 21985,5142|21985,24764|24394,1313|28478,4225|29353,9792|30377,22545|35698,9770|36224,18906|41496,24828|42405,2187|48373,8111|49617,9085
